x y
1213.1372803409304 490.5403138313601
696.6718001226703 808.6641018303819
692.5874791914254 793.194250127022
395.95205563890653 603.6240037039313
1199.8290996699816 510.89568603285375
1208.562458520255 496.7296175033983
394.58650586615397 608.4209213931903
1216.76756924797 501.71788277090013
903.4035408133917 1018.0245153214921
697.0362642454791 793.8679688372209
686.0298212446762 799.9707214626867
382.2731002936074 603.350592369745
386.56617692463703 599.0059490688781
714.2734393271785 790.0686329030534
901.0298842483184 988.9379944236863
394.0213601260608 588.033646230431
899.4424780579818 1004.1946515973675
1194.087842196307 495.098451539048
908.5222619918045 1002.8854377242719
398.62249073919605 601.4685394267502
878.6967244555676 995.3705920457542
397.302493997052 613.5234455046103
713.5289962719874 799.8345494919665
890.3431764890421 998.6989961573357
903.0327786749043 996.4269737091012
419.6061834523613 595.2264409477025
908.6220458135915 1003.4592176748164
1207.3873109724884 495.8826728797314
1203.9792798001863 497.1359370517053
893.9806945898258 988.3028959034101
1206.2926193668561 499.755711483588
699.8865606852155 805.1291033760009
407.3395211736779 596.4191749182463
699.6788570859055 812.4037479689712
885.1072090107747 997.0097350067899
1199.8313312754192 501.40635780169805
709.2739168295723 806.7798600536333
692.8336015334974 795.9504364425028
1196.8323172354926 496.0286899361092
381.8678834377141 607.3262277956828
